Time stamp sent long;Time stamp sent short [microseconds];Time stamp received long;Time stamp received short [microseconds];Infrared_FrontRight;Infrared_Rear;Infrared_RearRight;UltraSonic_FrontCenter;UltraSonic_FrontRight;UltraSonic_RearRight
2017-02-09 19:32:30.877389;1486668750877389;2017-02-09 19:32:30.880680;1486668750880680;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:30.976946;1486668750976946;2017-02-09 19:32:30.978983;1486668750978983;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:31.77562;1486668751077562;2017-02-09 19:32:31.78092;1486668751078092;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:31.178211;1486668751178211;2017-02-09 19:32:31.183139;1486668751183139;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:31.279620;1486668751279620;2017-02-09 19:32:31.280063;1486668751280063;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:31.382268;1486668751382268;2017-02-09 19:32:31.387035;1486668751387035;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:31.479316;1486668751479316;2017-02-09 19:32:31.486865;1486668751486865;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:31.579138;1486668751579138;2017-02-09 19:32:31.584932;1486668751584932;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:31.678726;1486668751678726;2017-02-09 19:32:31.687587;1486668751687587;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:31.778040;1486668751778040;2017-02-09 19:32:31.778880;1486668751778880;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:31.886302;1486668751886302;2017-02-09 19:32:31.886923;1486668751886923;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:31.980727;1486668751980727;2017-02-09 19:32:31.982580;1486668751982580;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:32.78346;1486668752078346;2017-02-09 19:32:32.80049;1486668752080049;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:32.182598;1486668752182598;2017-02-09 19:32:32.188266;1486668752188266;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:32.281629;1486668752281629;2017-02-09 19:32:32.283140;1486668752283140;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:32.380783;1486668752380783;2017-02-09 19:32:32.383225;1486668752383225;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:32.482720;1486668752482720;2017-02-09 19:32:32.484907;1486668752484907;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:32.577731;1486668752577731;2017-02-09 19:32:32.583823;1486668752583823;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:32.684999;1486668752684999;2017-02-09 19:32:32.686709;1486668752686709;-1;-1;-1;-1;-1;-1
